SimulationName,SimulationID,CheckpointID,CheckpointName,Clock.Today,deficit(1),deficit(2),deficit(3),deficit(4),deficit(5),deficit(6),deficit(7),DULreal(1),DULreal(2),DULreal(3),DULreal(4),DULreal(5),DULreal(6),DULreal(7),Irrigation.IrrigationApplied,LLreal(1),LLreal(2),LLreal(3),LLreal(4),LLreal(5),LLreal(6),LLreal(7),Maize.DaysAfterSowing,Maize.IsReadyForHarvesting,Maize.Leaf.Transpiration,Maize.Root.Depth,Maize.SowingDate,SATreal(1),SATreal(2),SATreal(3),SATreal(4),SATreal(5),SATreal(6),SATreal(7),Soil.Physical.Depth(1),Soil.Physical.Depth(2),Soil.Physical.Depth(3),Soil.Physical.Depth(4),Soil.Physical.Depth(5),Soil.Physical.Depth(6),Soil.Physical.Depth(7),Soil.SoilWater.Drainage,Soil.SoilWater.Es,Soil.SoilWater.Runoff,Soil.Water.MM(1),Soil.Water.MM(2),Soil.Water.MM(3),Soil.Water.MM(4),Soil.Water.MM(5),Soil.Water.MM(6),Soil.Water.MM(7),Weather.Rain,Yield,Zone,cycle_id,SoilWater_root,Dr_root,TAW_root,ETreal,ETr_acumulado,Irrigacao_dia_posterior,Umidade_solo_passada_1d,DOY_sin,DOY_cos,Month_sin,Month_cos,SW_frac_TAW,Dr_frac_TAW
Alegrete,4,1,Current,2019-08-10,-4.406,-3.427,-2.296,-2.576,-3.189,-1.909,7.851,51.9,51.0,100.8,100.2,99.9,99.6,99.6,0.0,31.2,30.6,60.3,60.0,59.7,59.7,59.7,0,0,0.0,30.0,2019-08-10,70.65,67.95,132.3,130.8,129.6,129.0,129.0,0-150,150-300,300-600,600-900,900-1200,1200-1500,1500-1800,0.0,1.148,0.0,56.306,54.427,103.096,102.776,103.089,101.509,91.749,0.5,0.0,Field,0,11.2612,-0.8812,4.14,1.148,1.148,0.0,,-0.6287628145958345,-0.7775971469736268,-0.8660254037844385,-0.5000000000000004,2.720096618357488,-0.21285024154589374
Alegrete,4,1,Current,2019-08-11,-1.31,-3.576,-2.68,-2.607,-3.015,-2.205,6.854,51.9,51.0,100.8,100.2,99.9,99.6,99.6,0.0,31.2,30.6,60.3,60.0,59.7,59.7,59.7,1,0,0.0,46.25,2019-08-10,70.65,67.95,132.3,130.8,129.6,129.0,129.0,0-150,150-300,300-600,600-900,900-1200,1200-1500,1500-1800,0.0,2.614,0.0,53.21,54.576,103.48,102.807,102.915,101.805,92.746,1.2,0.0,Field,0,16.40641666666667,-0.4039166666666667,6.3825,2.614,3.7619999999999996,0.0,11.2612,-0.6420547132365636,-0.7666588193001592,-0.8660254037844385,-0.5000000000000004,2.5705314009661837,-0.06328502415458938
Alegrete,4,1,Current,2019-08-12,-0.299,-2.988,-2.772,-2.657,-2.907,-2.381,5.785,51.9,51.0,100.8,100.2,99.9,99.6,99.6,0.0,31.2,30.6,60.3,60.0,59.7,59.7,59.7,2,0,0.0,71.25,2019-08-10,70.65,67.95,132.3,130.8,129.6,129.0,129.0,0-150,150-300,300-600,600-900,900-1200,1200-1500,1500-1800,0.0,1.318,0.0,52.199,53.988,103.572,102.857,102.807,101.981,93.815,1.0,0.0,Field,0,24.794524999999997,-0.14202499999999998,9.8325,1.318,5.08,0.0,16.40641666666667,-0.655156357209085,-0.7554933140726804,-0.8660254037844385,-0.5000000000000004,2.5216908212560383,-0.014444444444444444
Alegrete,4,1,Current,2019-08-13,2.507,-2.102,-2.587,-2.636,-2.826,-2.483,4.675,51.9,51.0,100.8,100.2,99.9,99.6,99.6,0.0,31.2,30.6,60.3,60.0,59.7,59.7,59.7,3,0,0.0,75.179,2019-08-10,70.65,67.95,132.3,130.8,129.6,129.0,129.0,0-150,150-300,300-600,600-900,900-1200,1200-1500,1500-1800,0.0,2.769,0.0,49.393,53.102,103.387,102.836,102.726,102.083,94.925,0.0,0.0,Field,0,24.755442313333337,1.2564916866666669,10.374702000000001,2.769,7.849,0.0,24.794524999999997,-0.6680638642135333,-0.7441039398713608,-0.8660254037844385,-0.5000000000000004,2.3861352657004833,0.12111111111111111
Alegrete,4,1,Current,2019-08-14,5.402,-1.4,-2.252,-2.521,-2.734,-2.529,3.55,51.9,51.0,100.8,100.2,99.9,99.6,99.6,0.0,31.2,30.6,60.3,60.0,59.7,59.7,59.7,4,0,0.0,75.179,2019-08-10,70.65,67.95,132.3,130.8,129.6,129.0,129.0,0-150,150-300,300-600,600-900,900-1200,1200-1500,1500-1800,0.0,2.967,0.0,46.498,52.4,103.052,102.721,102.634,102.129,96.05,0.0,0.0,Field,0,23.304487613333333,2.707446386666667,10.374702000000001,2.967,10.815999999999999,0.0,24.755442313333337,-0.6807734094770159,-0.7324940716135792,-0.8660254037844385,-0.5000000000000004,2.2462801932367147,0.2609661835748793
Alegrete,4,1,Current,2019-08-15,8.723,-0.891,-1.871,-2.326,-2.612,-2.529,2.43,51.9,51.0,100.8,100.2,99.9,99.6,99.6,0.0,31.2,30.6,60.3,60.0,59.7,59.7,59.7,5,0,0.0,90.714,2019-08-10,70.65,67.95,132.3,130.8,129.6,129.0,129.0,0-150,150-300,300-600,600-900,900-1200,1200-1500,1500-1800,0.0,3.409,0.0,43.177,51.891,102.671,102.526,102.512,102.129,97.17,0.0,0.0,Field,0,26.111722519999997,5.275321480000001,12.518531999999999,3.409,14.225,0.0,23.304487613333333,-0.6932812268869771,-0.7206671495538615,-0.8660254037844385,-0.5000000000000004,2.0858454106280195,0.421400966183575
Alegrete,4,1,Current,2019-08-16,10.243,-0.533,-1.497,-2.077,-2.451,-2.484,1.334,51.9,51.0,100.8,100.2,99.9,99.6,99.6,0.0,31.2,30.6,60.3,60.0,59.7,59.7,59.7,6,0,0.0,115.714,2019-08-10,70.65,67.95,132.3,130.8,129.6,129.0,129.0,0-150,150-300,300-600,600-900,900-1200,1200-1500,1500-1800,0.0,1.612,0.0,41.657,51.533,102.297,102.277,102.351,102.084,98.266,0.0,0.0,Field,0,32.13532065333333,7.901723346666667,15.968532,1.612,15.837,0.0,26.111722519999997,-0.7055836101071774,-0.70862667826446,-0.8660254037844385,-0.5000000000000004,2.012415458937198,0.4948309178743962
Alegrete,4,1,Current,2019-08-17,11.487,-0.28,-1.159,-1.802,-2.256,-2.398,0.281,51.9,51.0,100.8,100.2,99.9,99.6,99.6,0.0,31.2,30.6,60.3,60.0,59.7,59.7,59.7,7,0,0.0,140.714,2019-08-10,70.65,67.95,132.3,130.8,129.6,129.0,129.0,0-150,150-300,300-600,600-900,900-1200,1200-1500,1500-1800,0.0,1.336,0.0,40.413,51.28,101.959,102.002,102.156,101.998,99.319,0.0,0.0,Field,0,37.91116588,10.77587812,19.418532,1.336,17.173,0.0,32.13532065333333,-0.7176769136759615,-0.6963762255968726,-0.8660254037844385,-0.5000000000000004,1.9523188405797103,0.5549275362318841
Alegrete,4,1,Current,2019-08-18,12.57,-0.102,-0.87,-1.522,-2.036,-2.289,-0.49,51.9,51.0,100.8,100.2,99.9,99.6,99.6,0.0,31.2,30.6,60.3,60.0,59.7,59.7,59.7,8,0,0.0,165.714,2019-08-10,70.65,67.95,132.3,130.8,129.6,129.0,129.0,0-150,150-300,300-600,600-900,900-1200,1200-1500,1500-1800,0.21,1.178,0.0,39.33,51.102,101.67,101.722,101.936,101.889,100.09,0.0,0.0,Field,0,44.68344552,12.559314480000001,22.837104,1.178,18.351,0.0,37.91116588,-0.7295575540864876,-0.6839194216246105,-0.8660254037844385,-0.5000000000000004,1.9566161068408674,0.5499521515512651
Alegrete,4,1,Current,2019-08-19,13.54,0.024,-0.631,-1.255,-1.802,-2.143,-0.986,51.9,51.0,100.8,100.2,99.9,99.6,99.6,0.0,31.2,30.6,60.3,60.0,59.7,59.7,59.7,9,0,0.0,176.25,2019-08-10,70.65,67.95,132.3,130.8,129.6,129.0,129.0,0-150,150-300,300-600,600-900,900-1200,1200-1500,1500-1800,0.422,1.065,0.0,38.36,50.976,101.431,101.455,101.702,101.743,100.586,0.0,0.0,Field,0,47.2808,13.5442,24.27,1.065,19.416,0.0,44.68344552,-0.7412220108485957,-0.6712599575675315,-0.8660254037844385,-0.5000000000000004,1.948117016893284,0.5580634528224145
Alegrete,4,1,Current,2019-08-20,14.423,0.12,-0.441,-1.011,-1.564,-1.969,-1.281,51.9,51.0,100.8,100.2,99.9,99.6,99.6,0.0,31.2,30.6,60.3,60.0,59.7,59.7,59.7,10,0,0.0,186.607,2019-08-10,70.65,67.95,132.3,130.8,129.6,129.0,129.0,0-150,150-300,300-600,600-900,900-1200,1200-1500,1500-1800,0.549,0.98,0.0,37.477,50.88,101.241,101.211,101.464,101.569,100.881,0.0,0.0,Field,0,49.8940944,14.4522856,25.678552,0.98,20.396,0.0,47.2808,-0.7526668275320083,-0.6584015846980489,-0.8660254037844385,-0.5000000000000004,1.9430260086316393,0.5628154422414473
Alegrete,4,1,Current,2019-08-21,15.247,0.224,-0.309,-0.8,-1.335,-1.779,-1.43,51.9,51.0,100.8,100.2,99.9,99.6,99.6,0.0,31.2,30.6,60.3,60.0,59.7,59.7,59.7,11,0,0.015,196.786,2019-08-10,70.65,67.95,132.3,130.8,129.6,129.0,129.0,0-150,150-300,300-600,600-900,900-1200,1200-1500,1500-1800,0.613,0.912,0.0,36.653,50.776,101.109,101.0,101.235,101.379,101.03,0.0,0.0,Field,0,52.490372906666664,15.316867093333332,27.062896,0.927,21.323,0.0,49.8940944,-0.7638886127905429,-0.64534811322955,-0.8660254037844385,-0.5000000000000004,1.939569693748469,0.5659729503203698
Alegrete,4,1,Current,2019-08-22,16.014,0.33,-0.216,-0.625,-1.122,-1.582,-1.476,51.9,51.0,100.8,100.2,99.9,99.6,99.6,0.0,31.2,30.6,60.3,60.0,59.7,59.7,59.7,12,0,0.016,212.679,2019-08-10,70.65,67.95,132.3,130.8,129.6,129.0,129.0,0-150,150-300,300-600,600-900,900-1200,1200-1500,1500-1800,0.633,0.857,0.0,35.886,50.67,101.016,100.825,101.022,101.182,101.076,0.0,0.0,Field,0,57.0589662,16.1518938,29.224344,0.873,22.195999999999998,0.0,52.490372906666664,-0.7748840413670406,-0.6321034111873488,-0.8660254037844385,-0.5000000000000004,1.9524464330148865,0.5526862741555465
Alegrete,4,1,Current,2019-08-23,16.733,0.438,-0.151,-0.483,-0.93,-1.387,-1.449,51.9,51.0,100.8,100.2,99.9,99.6,99.6,0.0,31.2,30.6,60.3,60.0,59.7,59.7,59.7,13,0,0.016,229.107,2019-08-10,70.65,67.95,132.3,130.8,129.6,129.0,129.0,0-150,150-300,300-600,600-900,900-1200,1200-1500,1500-1800,0.621,0.811,0.0,35.167,50.562,100.951,100.683,100.83,100.987,101.049,0.0,0.0,Field,0,61.83238756,16.963992440000002,31.458551999999997,0.8270000000000001,23.023,0.0,57.0589662,-0.7856498550787144,-0.6186714032625032,-0.8660254037844385,-0.5000000000000004,1.96551918727855,0.5392489914984009
Alegrete,4,1,Current,2019-08-24,17.412,0.548,-0.106,-0.37,-0.762,-1.199,-1.374,51.9,51.0,100.8,100.2,99.9,99.6,99.6,0.0,31.2,30.6,60.3,60.0,59.7,59.7,59.7,14,0,0.019,247.857,2019-08-10,70.65,67.95,132.3,130.8,129.6,129.0,129.0,0-150,150-300,300-600,600-900,900-1200,1200-1500,1500-1800,0.589,0.771,0.0,34.488,50.452,100.906,100.57,100.662,100.799,100.974,0.0,0.0,Field,0,67.40187576,17.76950424,34.008551999999995,0.79,23.813,0.0,61.83238756,-0.7961828637826154,-0.6050560696488494,-0.8660254037844385,-0.5000000000000004,1.9819096020318656,0.5225010532644848
Alegrete,4,1,Current,2019-08-25,18.058,0.665,-0.074,-0.281,-0.618,-1.025,-1.269,51.9,51.0,100.8,100.2,99.9,99.6,99.6,0.0,31.2,30.6,60.3,60.0,59.7,59.7,59.7,15,0,0.026,272.857,2019-08-10,70.65,67.95,132.3,130.8,129.6,129.0,129.0,0-150,150-300,300-600,600-900,900-1200,1200-1500,1500-1800,0.544,0.737,0.0,33.842,50.335,100.874,100.481,100.518,100.625,100.869,0.0,0.0,Field,0,75.06871396666668,18.602666033333332,37.408552,0.763,24.576,0.0,67.40187576,-0.8064799463209447,-0.5912614448635782,-0.8660254037844385,-0.5000000000000004,2.0067260012273844,0.49728377707143895
Alegrete,4,1,Current,2019-08-26,10.692,0.748,-0.052,-0.212,-0.496,-0.866,-1.148,51.9,51.0,100.8,100.2,99.9,99.6,99.6,0.0,31.2,30.6,60.3,60.0,59.7,59.7,59.7,16,0,0.012,297.857,2019-08-10,70.65,67.95,132.3,130.8,129.6,129.0,129.0,0-150,150-300,300-600,600-900,900-1200,1200-1500,1500-1800,0.492,1.505,0.0,41.208,50.252,100.852,100.412,100.396,100.466,100.748,8.8,0.0,Field,0,90.74206642666668,11.429313573333333,40.808552000000006,1.517,26.093,0.0,75.06871396666668,-0.8165380514459157,-0.5772916165517278,-0.8660254037844385,-0.5000000000000004,2.223604170681348,0.2800715294513104
