datetime,DSWRF_0_6_W_m2,DSWRF_6_12_W_m2,DSWRF_12_18_W_m2,DSWRF_18_24_W_m2,DSWRF_24h_mean_W_m2,DSWRF_24h_MJ_m2
2019-06-13,0.0,30.0,398.0,76.0,126.0,10.8864
2019-06-14,0.0,24.0,483.0,85.0,148.0,12.7872
2019-06-15,0.0,19.0,404.0,71.0,123.5,10.6704
2019-06-16,0.0,9.0,183.0,42.0,58.5,5.0544
2019-06-17,0.0,27.0,500.0,94.0,155.25,13.4136
2019-06-18,0.0,26.0,498.0,94.0,154.5,13.3488
2019-06-19,0.0,2.0,487.0,103.0,148.0,12.7872
2019-06-20,0.0,29.0,528.0,101.0,164.5,14.212800000000001
2019-06-21,0.0,28.0,502.0,97.0,156.75,13.5432
2019-06-22,0.0,25.0,493.0,97.0,153.75,13.284
2019-06-23,0.0,27.0,502.0,98.0,156.75,13.5432
2019-06-24,0.0,23.0,461.0,82.0,141.5,12.2256
2019-06-25,0.0,27.0,449.0,48.0,131.0,11.3184
2019-06-26,0.0,26.0,418.0,107.0,137.75,11.9016
2019-06-27,0.0,28.0,520.0,99.0,161.75,13.975200000000001
2019-06-28,0.0,3.0,286.0,63.0,88.0,7.6032
2019-06-29,0.0,25.0,370.0,74.0,117.25,10.1304
2019-06-30,0.0,14.0,193.0,8.0,53.75,4.644
2019-07-01,0.0,2.0,49.0,35.0,21.5,1.8576000000000001
2019-07-02,0.0,2.0,16.0,3.0,5.25,0.4536
2019-07-03,0.0,27.0,535.0,107.0,167.25,14.4504
2019-07-04,0.0,28.0,535.0,107.0,167.5,14.472000000000001
2019-07-05,0.0,28.0,548.0,111.0,171.75,14.8392
2019-07-06,0.0,29.0,551.0,111.0,172.75,14.925600000000001
2019-07-07,0.0,30.0,556.0,112.0,174.5,15.0768
2019-07-08,0.0,29.0,550.0,112.0,172.75,14.925600000000001
2019-07-09,0.0,29.0,544.0,108.0,170.25,14.7096
2019-07-10,0.0,22.0,465.0,90.0,144.25,12.4632
2019-07-11,0.0,19.0,471.0,109.0,149.75,12.938400000000001
2019-07-12,0.0,27.0,488.0,15.0,132.5,11.448
2019-07-13,0.0,9.0,194.0,24.0,56.75,4.9032
2019-07-14,0.0,3.0,58.0,62.0,30.75,2.6568
2019-07-15,0.0,21.0,447.0,117.0,146.25,12.636000000000001
2019-07-16,0.0,30.0,562.0,118.0,177.5,15.336
2019-07-17,0.0,32.0,572.0,121.0,181.25,15.66
2019-07-18,0.0,31.0,567.0,120.0,179.5,15.5088
2019-07-19,0.0,15.0,180.0,75.0,67.5,5.832000000000001
2019-07-20,0.0,29.0,538.0,114.0,170.25,14.7096
2019-07-21,0.0,30.0,520.0,88.0,159.5,13.780800000000001
2019-07-22,0.0,12.0,264.0,20.0,74.0,6.3936
2019-07-23,0.0,9.0,303.0,59.0,92.75,8.0136
2019-07-24,0.0,5.0,261.0,44.0,77.5,6.696000000000001
2019-07-25,0.0,6.0,162.0,20.0,47.0,4.0608
2019-07-26,0.0,4.0,176.0,84.0,66.0,5.7024
2019-07-27,0.0,34.0,421.0,36.0,122.75,10.6056
2019-07-28,0.0,35.0,592.0,121.0,187.0,16.1568
2019-07-29,0.0,33.0,554.0,112.0,174.75,15.098400000000002
2019-07-30,0.0,34.0,483.0,55.0,143.0,12.3552
2019-07-31,0.0,22.0,587.0,131.0,185.0,15.984
2019-08-01,0.0,36.0,583.0,128.0,186.75,16.1352
2019-08-02,0.0,6.0,222.0,107.0,83.75,7.236000000000001
2019-08-03,0.0,40.0,621.0,138.0,199.75,17.2584
2019-08-04,0.0,41.0,625.0,142.0,202.0,17.4528
2019-08-05,0.0,42.0,633.0,143.0,204.5,17.6688
2019-08-06,0.0,39.0,601.0,135.0,193.75,16.740000000000002
2019-08-07,0.0,40.0,582.0,138.0,190.0,16.416
2019-08-08,0.0,28.0,474.0,106.0,152.0,13.132800000000001
2019-08-09,0.0,35.0,481.0,82.0,149.5,12.9168
