rank,feature,pearson_r,importance_abs,direction,status
1,etreal_mm_dia,0.1702119170,0.1702119170,positiva,ok
2,radiacao_solar_MJ_m2_dia,0.1605026231,0.1605026231,positiva,ok
3,previsao_temperatura_minima_C,-0.1402585788,0.1402585788,negativa,ok
4,temperatura_minima_C,-0.1391385462,0.1391385462,negativa,ok
5,previsao_temperatura_maxima_C,-0.1263683831,0.1263683831,negativa,ok
6,previsao_radiacao_solar_MJ_m2_dia,0.1190239178,0.1190239178,positiva,ok
7,umidade_solo_passada_1d_mm,0.1165571548,0.1165571548,positiva,ok
8,umidade_solo_passada_2d_mm,0.1165336430,0.1165336430,positiva,ok
9,profundidade_radicular_mm,0.1164988997,0.1164988997,positiva,ok
10,umidade_solo_passada_3d_mm,0.1160887809,0.1160887809,positiva,ok
11,temperatura_media_C,-0.1123762789,0.1123762789,negativa,ok
12,umidade_solo_mm,0.1103693063,0.1103693063,positiva,ok
13,umidade_relativa_pct,-0.1079714095,0.1079714095,negativa,ok
14,doy_cos,0.1068390969,0.1068390969,positiva,ok
15,taw_mm,0.1052523489,0.1052523489,positiva,ok
16,month_cos,0.0937132218,0.0937132218,positiva,ok
17,etr_acumulado_mm,0.0858653942,0.0858653942,positiva,ok
18,temperatura_maxima_C,-0.0856918363,0.0856918363,negativa,ok
19,precipitacao_observada_mm,-0.0838789256,0.0838789256,negativa,ok
20,dias_desde_semeadura,0.0832640646,0.0832640646,positiva,ok
21,gdd_acumulado_C_dia,0.0757816894,0.0757816894,positiva,ok
22,chuva_irrigacao_passada_1d_mm,0.0684513621,0.0684513621,positiva,ok
23,chuva_irrigacao_passada_2d_mm,0.0673399577,0.0673399577,positiva,ok
24,month_sin,0.0617937690,0.0617937690,positiva,ok
25,previsao_chuva_24h_mm,-0.0511468101,0.0511468101,negativa,ok
26,previsao_eto_mm_dia,0.0471761280,0.0471761280,positiva,ok
27,doy_sin,0.0385506668,0.0385506668,positiva,ok
28,dr_mm,0.0361438901,0.0361438901,positiva,ok
29,chuva_irrigacao_passada_3d_mm,0.0256931988,0.0256931988,positiva,ok
30,velocidade_vento_m_s,-0.0185224768,0.0185224768,negativa,ok
31,drenagem_mm,-0.0167139560,0.0167139560,negativa,ok
32,escoamento_superficial_mm,-0.0145448384,0.0145448384,negativa,ok
