feature,importance_mean,importance_std
previsao_radiacao_solar_MJ_m2_dia,2.3839378794953525,0.09169291666368087
etreal_mm_dia,0.30072560151468125,0.02140257711061198
previsao_temperatura_minima_C,0.294968642028046,0.029531978111464924
dr_mm,0.2191113764290546,0.017106103912380217
previsao_temperatura_maxima_C,0.07949117479340159,0.016340730229096857
precipitacao_observada_mm,0.07407573934917884,0.021000911779888727
radiacao_solar_MJ_m2_dia,0.07001711947782367,0.011947744843587396
temperatura_media_C,0.05343531314278023,0.008801832047443744
temperatura_minima_C,0.0507425169149021,0.007917424879627481
gdd_acumulado_C_dia,0.03804853981036747,0.005718786749251429
previsao_chuva_24h_mm,0.026164287073397664,0.006494225727703951
umidade_relativa_pct,0.02206094211618157,0.010150233740865256
profundidade_radicular_mm,0.017626627705623354,0.00229745587454355
drenagem_mm,0.017007970660878825,0.002960725596135062
dias_desde_semeadura,0.015281098338970312,0.00523151240664905
velocidade_vento_m_s,0.014619469214451763,0.009375071173023658
temperatura_maxima_C,0.008025626851851353,0.008194239348026097
umidade_solo_passada_1d_mm,0.00310466029919243,0.004569655514010437
month_sin,0.0009873744561391007,0.0009512607052525501
taw_mm,0.000625383122390355,0.001438777487355643
irrigacao_aplicada_mm,0.0,0.0
irrigacao_aplicada_dia_posterior_mm,0.0,0.0
month_cos,-0.0003160509112827281,0.0005894042933734983
umidade_solo_passada_2d_mm,-0.0005333448853532818,0.0009985434740027626
umidade_solo_passada_3d_mm,-0.0027142500882024303,0.0010285596547965653
escoamento_superficial_mm,-0.006374755419964994,0.0012214955627551532
umidade_solo_mm,-0.006450230662283074,0.0037616771818477284
etr_acumulado_mm,-0.006686322644813813,0.007467372290802972
doy_cos,-0.008253520770175138,0.0020760518031611446
doy_sin,-0.01535954017274017,0.009748212011050484
